<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Evet	evet+NOUN+A3SG+PNON+NOM
.	null
</S>	</S>+ESTag
<S>	<S>+BSTag
Güldü	gül+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Evet	evet+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
hiçbir	hiçbir+DET
şeye	şey+NOUN+A3SG+PNON+DAT
yaramadıklarını	yarama+VERB+POS^DB+NOUN+PASTPART+A3PL+P3PL+ACC
düşünsem	düşün+VERB+POS+DESR+A1SG
de	de+CONJ
,	,+PUNC
yaşayabilmek	yaşa+VERB+POS^DB+VERB+ABLE^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
yazmak	yaz+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
!	!+PUNC
Böylece	böylece+ADV
,	,+PUNC
o	o+DET
beklemekle	bekle+VERB+POS^DB+NOUN+INF+A3SG+PNON+INS
,	,+PUNC
aramakla	ara+VERB+POS^DB+NOUN+INF+A3SG+PNON+INS
,	,+PUNC
bütün	bütün+ADJ
bu	bu+DET
zaman	zaman+NOUN+A3SG+PNON+NOM
parçalarını	parça+NOUN+A3PL+P3SG+ACC
dolduracak	doldur+VERB+POS^DB+ADJ+FUTPART+PNON
olan	ol+VERB+POS^DB+ADJ+PRESPART
boşlukla	boşluk+NOUN+A3SG+PNON+INS
ve	ve+CONJ
sıkıntıyla	sıkıntı+NOUN+A3SG+PNON+INS
dolu	dolu+ADJ
yaşam	yaşam+NOUN+A3SG+PNON+NOM
çizgimi	çizgi+NOUN+A3SG+P1SG+ACC
belirledim	belirle+VERB+POS+PAST+A1SG
sanıyorum	san+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Evet	evet+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kendine	kendi+PRON+REFLEXP+A3SG+P3SG+DAT
dönmek	dön+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
isteyen	iste+VERB+POS^DB+ADJ+PRESPART
bir	bir+DET
insanın	insan+NOUN+A3SG+PNON+GEN
gidebileceği	git+VERB+POS^DB+VERB+ABLE^DB+NOUN+FUTPART+A3SG+P3SG+NOM
neresi	nere+PRON+QUESP+A3SG+P3SG+NOM
vardır	var+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
ki	ki+CONJ
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
adı	ad+NOUN+A3SG+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ne	ne+ADJ
zaman	zaman+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kendi	kendi+PRON+REFLEXP+A3SG+P3SG+NOM
içinde	iç+NOUN+A3SG+P3SG+LOC
taşıdığı	taşı+VERB+POS^DB+ADJ+PASTPART+P3SG
boşlukta	boşluk+NOUN+A3SG+PNON+LOC
derinleşmekten	derinleş+VERB+POS^DB+NOUN+INF+A3SG+PNON+ABL
,	,+PUNC
o	o+DET
boşluğun	boşluk+NOUN+A3SG+PNON+GEN
sıkıntısını	sıkıntı+NOUN+A3SG+P3SG+ACC
,	,+PUNC
hiç	hiç+ADV
olan	ol+VERB+POS^DB+ADJ+PRESPART
hiçi	hiç+NOUN+A3SG+PNON+ACC
duyumsamaktan	duyumsa+VERB+POS^DB+NOUN+INF+A3SG+PNON+ABL
başka	başka+POSTP+PCABL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kim	kim+NOUN+PROP+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Değil	değil+ADJ
tabii	tabii+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Üstelik	üstelik+ADV
mitolojilere	mitoloji+NOUN+A3PL+PNON+DAT
inanmayan	inan+VERB+NEG^DB+ADJ+PRESPART
birisiyse	biri+PRON+QUANTP+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A3SG
,	,+PUNC
boşluk	boşluk+NOUN+A3SG+PNON+NOM
üzerinden	üzeri+NOUN+A3SG+P2SG+ABL
akacaktır	ak+VERB+POS+FUT+COP+A3SG
onun	o+PRON+PERS+A3SG+PNON+GEN
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Niçin	niçin+ADV
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Seni	seni+NOUN+PROP+A3SG+PNON+NOM
seviyorum	sev+VERB+POS+PROG1+A1SG
,	,+PUNC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ardından	ardından+ADV
üniversitede	üniversite+NOUN+A3SG+PNON+LOC
,	,+PUNC
benimle	ben+PRON+PERS+A1SG+PNON+INS
ilgilenen	ilgilen+VERB+POS^DB+ADJ+PRESPART
kızlarla	kız+NOUN+A3PL+PNON+INS
dolaşmaya	dolaşma+NOUN+A3SG+PNON+DAT
başladım	başla+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ayhan	ayhan+NOUN+PROP+A3SG+PNON+NOM
Işık'ın	ışık+NOUN+PROP+A3SG+PNON+GEN
yerine	yer+NOUN+A3SG+P3SG+DAT
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Artık	artık+ADV
Beyoğlu'na	Beyoğlu'na+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
geceleri	geceleri+ADV
içki	içki+NOUN+A3SG+PNON+NOM
içmek	iç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
çıkışları	çıkış+NOUN+A3PL+PNON+ACC
azaltmıştım	azalt+VERB+POS+NARR+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
..	..+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
ve	ve+CONJ
ben	ben+PRON+PERS+A1SG+PNON+NOM
asla	asla+ADV
yaşlanmayacağız	yaşlan+VERB+NEG+FUT+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Meyhanelerin	meyhane+NOUN+A3PL+PNON+GEN
,	,+PUNC
o	o+DET
dönemlerde	dönem+NOUN+A3PL+PNON+LOC
,	,+PUNC
erkeklerin	erkek+NOUN+A3PL+PNON+GEN
sayıca	sayıca+ADV
ağır	ağır+ADJ
bastığı	bas+VERB+POS^DB+ADJ+PASTPART+P3SG
havası	hava+NOUN+A3SG+P3SG+NOM
,	,+PUNC
sıkıyordu	sık+VERB+POS+PROG1+PAST+A3SG
beni	ben+PRON+PERS+A1SG+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
..	..+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Aşkımız	aşk+NOUN+A3SG+P1PL+NOM
asla	asla+ADV
eskimeyecek	eski+VERB+NEG+FUT+A3SG
ve	ve+CONJ
ölmeyecek	öl+VERB+NEG+FUT+A3SG
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Onun	o+PRON+PERS+A3SG+PNON+GEN
yerine	yer+NOUN+A3SG+P3SG+DAT
kentin	kent+NOUN+A3SG+PNON+GEN
o	o+PRON+PERS+A3SG+PNON+NOM
yakasındaki	yaka+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL
Alman	alman+ADJ
kökenli	kökenli+ADJ
güzel	güzel+ADJ
lokantalara	lokanta+NOUN+A3PL+PNON+DAT
,	,+PUNC
daha	daha+ADV
çok	çok+ADJ
,	,+PUNC
bu	bu+DET
gezdiğim	gez+VERB+POS^DB+ADJ+PASTPART+P1SG
kızlarla	kız+NOUN+A3PL+PNON+INS
çıkıyordum	çık+VERB+POS+PROG1+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
bir	bir+DET
ilkokul	ilkokul+NOUN+A3SG+PNON+NOM
öğrencisiyle	öğrenci+NOUN+A3SG+P3SG+INS
,	,+PUNC
yirmilerindeki	yirmi+NUM+CARD^DB+NOUN+ZERO+A3PL+P3SG+LOC^DB+ADJ+REL
bir	bir+DET
kadının	kadın+NOUN+A3SG+PNON+GEN
aşkına	aşk+NOUN+A3SG+P3SG+DAT
hiç	hiç+ADV
kimse	kimse+PRON+QUANTP+A3SG+P3SG+NOM
artık	artık+ADV
hiçbir	hiçbir+DET
şey	şey+NOUN+A3SG+PNON+NOM
söyleyemeyecek	söyle+VERB^DB+VERB+ABLE+NEG+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sevgilim	sevgili+NOUN+A3SG+P1SG+NOM
saydığım	say+VERB+POS^DB+ADJ+PASTPART+P1SG
kolejli	kolejli+ADJ
bir	bir+DET
kızla	kız+NOUN+A3SG+PNON+INS
gemilere	gemi+NOUN+A3PL+PNON+DAT
biniyor	bin+VERB+POS+PROG1+A3SG
,	,+PUNC
Prens	prens+NOUN+A3SG+PNON+NOM
Adalarına	ada+NOUN+A3PL+P3SG+DAT
gidiyorduk	git+VERB+POS+PROG1+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kim	kim+NOUN+PROP+A3SG+PNON+NOM
demiş	de+VERB+POS+NARR^DB+ADJ+ZERO
öldüğünü	öl+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
?	?+PUNC
..	..+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Orada	ora+NOUN+A3SG+PNON+LOC
,	,+PUNC
