<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Pittsburgh'tan	pittsburgh+NOUN+PROP+A3SG+PNON+ABL
Atlanta'ya	atlanta+NOUN+PROP+A3SG+PNON+DAT
25	25+NUM+CARD
Nisan'da	nisan+NOUN+PROP+A3SG+PNON+LOC
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
ve	ve+CONJ
6	6+NUM+CARD
Mayıs'ta	mayıs+NOUN+PROP+A3SG+PNON+LOC
dönen	dön+VERB+POS^DB+ADJ+PRESPART
en	en+ADV
ucuz	ucuz+ADJ
uçuşu	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Dallas	dallas+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Baltimore	baltimore+NOUN+PROP+A3SG+PNON+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
on	on+NUM+CARD
Ağustos'ta	ağustos+NOUN+PROP+A3SG+PNON+LOC
kalkıp	kalk+VERB+POS^DB+ADV+AFTERDOINGSO
on	on+NUM+CARD
iki	iki+NUM+CARD
Ağustos'ta	ağustos+NOUN+PROP+A3SG+PNON+LOC
geri	geri+ADV
dönen	dön+VERB+POS^DB+ADJ+PRESPART
ucuz	ucuz+ADJ
uçuşlar	uç+VERB+POS^DB+NOUN+INF3+A3PL+PNON+NOM
hangileri	hangi+PRON+QUESP+A3PL+P3PL+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Pittsburgh'tan	pittsburgh+NOUN+PROP+A3SG+PNON+ABL
Atlanta'ya	atlanta+NOUN+PROP+A3SG+PNON+DAT
25	25+NUM+CARD
Nisan'da	nisan+NOUN+PROP+A3SG+PNON+LOC
gidiş	git+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
6	6+NUM+CARD
Mayıs'ta	mayıs+NOUN+PROP+A3SG+PNON+LOC
dönüşü	dön+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
olan	ol+VERB+POS^DB+ADJ+PRESPART
bir	bir+DET
gidiş	git+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
dönüş	dön+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
uçuşunun	uç+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+GEN
maliyeti	maliyet+NOUN+A3SG+P3SG+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Memphis'ten	memphis+NOUN+PROP+A3SG+PNON+ABL
Seattle'ye	seattle+NOUN+PROP+A3SG+PNON+DAT
en	en+ADV
geç	geç+ADJ
akşam	akşam+NOUN+A3SG+PNON+NOM
saat	saat+NOUN+A3SG+PNON+NOM
3'te	3+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+LOC
varacak	var+VERB+POS^DB+ADJ+FUTPART+PNON
bir	bir+DET
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Nashville'den	nashville+NOUN+PROP+A3SG+PNON+ABL
Seattle'ye	seattle+NOUN+PROP+A3SG+PNON+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
saat	saat+NOUN+A3SG+PNON+NOM
3'ten	3+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
önce	önce+POSTP+PCABL
varışlı	var+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
Fort	fort+NOUN+PROP+A3SG+PNON+NOM
Worth'ten	worth+NOUN+PROP+A3SG+PNON+ABL
ayrılan	ayır+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
ve	ve+CONJ
en	en+ADV
geç	geç+ADV
gelecek	gel+VERB+POS^DB+ADJ+FUTPART+PNON
pazartesi	pazartesi+NOUN+A3SG+PNON+NOM
akşam	akşam+NOUN+A3SG+PNON+NOM
2'ye	2+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
Denver'e	denver+NOUN+PROP+A3SG+PNON+DAT
varacak	var+VERB+POS^DB+ADJ+FUTPART+PNON
bir	bir+DET
uçağa	uçak+NOUN+A3SG+PNON+DAT
ihtiyacım	ihtiyaç+NOUN+A3SG+P1SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
gelecek	gel+VERB+POS^DB+ADJ+FUTPART+PNON
salı	salı+NOUN+A3SG+PNON+NOM
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
ve	ve+CONJ
ertesi	ertesi+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
dönen	dön+VERB+POS^DB+ADJ+PRESPART
Chicago'dan	chicago+NOUN+PROP+A3SG+PNON+ABL
Detroit'e	detroit+NOUN+PROP+A3SG+PNON+DAT
gidiş	git+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
dönüş	dön+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
uçuşlarını	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+ACC
gösterin	göster+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Kansas'tan	kansas+NOUN+PROP+A3SG+PNON+ABL
Chicago'ya	chicago+NOUN+PROP+A3SG+PNON+DAT
önümüzdeki	ön+NOUN+A3SG+P1PL+LOC^DB+ADJ+REL
Çarşamba	çarşamba+NOUN+PROP+A3SG+PNON+NOM
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
ve	ve+CONJ
ertesi	ertesi+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
dönen	dön+VERB+POS^DB+ADJ+PRESPART
bir	bir+DET
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Önümüzdeki	ön+NOUN+A3SG+P1PL+LOC^DB+ADJ+REL
çarşamba	çarşamba+NOUN+A3SG+PNON+NOM
gidiş	git+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
ertesi	ertesi+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
dönüşü	dön+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
olan	ol+VERB+POS^DB+ADJ+PRESPART
Kansas	kansas+NOUN+PROP+A3SG+PNON+NOM
City'den	city+NOUN+PROP+A3SG+PNON+ABL
Chicago'ya	chicago+NOUN+PROP+A3SG+PNON+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
bir	bir+DET
uçuşa	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+DAT
ihtiyacım	ihtiyaç+NOUN+A3SG+P1SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
yemek	yemek+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
d	d+NOUN+A3SG+PNON+ACC
s	s+NOUN+A3SG+PNON+ACC
ne	ne+ADJ
anlama	anlam+NOUN+A3SG+PNON+DAT
geliyor	gel+VERB+POS+PROG1+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Yemek	yemek+NOUN+A3SG+PNON+NOM
kurallarını	kural+NOUN+A3PL+P3SG+ACC
açıklayın	açıkla+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
yemek	yemek+NOUN+A3SG+PNON+NOM
kodu	kod+NOUN+A3SG+P3SG+NOM
S'in	s+NOUN+PROP+A3SG+PNON+GEN
anlamı	anlam+NOUN+A3SG+P3SG+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
Atlanta'dan	atlanta+NOUN+PROP+A3SG+PNON+ABL
Denver'e	denver+NOUN+PROP+A3SG+PNON+DAT
yarından	yarın+NOUN+A3SG+PNON+ABL
sonraki	sonraki+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
saat	saat+NOUN+A3SG+PNON+NOM
5'ten	5+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
tüm	tüm+DET
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
gösterin	göster+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Atlanta'dan	atlanta+NOUN+PROP+A3SG+PNON+ABL
San	san+NOUN+PROP+A3SG+PNON+NOM
Francisco'ya	francisco+NOUN+PROP+A3SG+PNON+DAT
yarından	yarın+NOUN+A3SG+PNON+ABL
sonraki	sonraki+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
akşam	akşam+NOUN+A3SG+PNON+NOM
5'ten	5+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
yola	yol+NOUN+A3SG+PNON+DAT
çıkan	çık+VERB+POS^DB+ADJ+PRESPART
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Denver'den	denver+NOUN+PROP+A3SG+PNON+ABL
Pittsburgh'a	pittsburgh+NOUN+PROP+A3SG+PNON+DAT
yemek	yemek+NOUN+A3SG+PNON+NOM
servisi	servis+NOUN+A3SG+P3SG+NOM
yapan	yap+VERB+POS^DB+ADJ+PRESPART
yarından	yarın+NOUN+A3SG+PNON+ABL
sonraki	sonraki+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
tüm	tüm+DET
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
