<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Tavandaki	tavan+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
abajursuz	abajur+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT
,	,+PUNC
çelik	çelik+ADJ
elektrik	elektrik+NOUN+A3SG+PNON+NOM
lambasını	lamba+NOUN+A3SG+P3SG+ACC
yakmış	yak+VERB+POS+NARR+A3SG
okuyordu	oku+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Üstünde	üst+NOUN+A3SG+P3SG+LOC
lacivert	lacivert+ADJ
abajurlu	abajurlu+ADJ
,	,+PUNC
parlak	parlak+ADJ
bir	bir+DET
madenden	maden+NOUN+A3SG+PNON+ABL
lamba	lamba+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yalnız	yalnız+ADV
sarı	sarı+ADJ
cübbeli	cübbe+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
,	,+PUNC
abani	abani+NOUN+A3SG+PNON+NOM
sarıklı	sarık+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
,	,+PUNC
peykede	peyke+NOUN+A3SG+PNON+LOC
bağdaş	bağdaş+NOUN+A3SG+PNON+NOM
kurmuş	kur+VERB+POS+NARR^DB+ADJ+ZERO
bir	bir+DET
cüce	cüce+ADJ
vardı	var+ADJ^DB+VERB+ZERO+PAST+A3SG
ki	ki+CONJ
onu	o+PRON+PERS+A3SG+PNON+ACC
tanımadı	tanı+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bursa	bursa+NOUN+PROP+A3SG+PNON+NOM
abanisi	abani+NOUN+A3SG+P3SG+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Baba	baba+NOUN+A3SG+PNON+NOM
,	,+PUNC
'	'+PUNC
ya	ya+CONJ
Allah	allah+NOUN+PROP+A3SG+PNON+NOM
'	'+PUNC
nidası	nida+NOUN+A3SG+P3SG+NOM
ile	ile+CONJ
yerinden	yer+NOUN+A3SG+P3SG+ABL
zorla	zor+ADJ^DB+NOUN+ZERO+A3SG+PNON+INS
,	,+PUNC
oğluna	oğul+NOUN+A3SG+P3SG+DAT
abanarak	aban+VERB+POS^DB+ADV+BYDOINGSO
kalktı	kalk+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Efendi	efendi+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
sen	sen+PRON+PERS+A2SG+PNON+NOM
de	de+CONJ
ne	ne+ADV
üstüme	üst+NOUN+A3SG+P1SG+DAT
abanıyorsun	aban+VERB+POS+PROG1+A2SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ateşe	ateş+NOUN+A3SG+PNON+DAT
dokundu	dokun+VERB+POS+PAST+A3SG
,	,+PUNC
eli	el+NOUN+A3SG+PNON+ACC
yandı	yan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İki	iki+NUM+CARD
herif	herif+NOUN+A3SG+PNON+NOM
zavallıya	zavallı+ADJ^DB+NOUN+ZERO+A3SG+PNON+DAT
abanıyorlar	aban+VERB+POS+PROG1+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bulgarlara	bulgar+NOUN+A3PL+PNON+DAT
esir	esir+NOUN+A3SG+PNON+NOM
düşüp	düş+VERB+POS^DB+ADV+AFTERDOINGSO
fedakâr	fedakâr+ADJ
emirberi	emirber+NOUN+A3SG+P3SG+NOM
Hasan	hasan+NOUN+PROP+A3SG+PNON+NOM
Çavuşun	çavuş+NOUN+A3SG+PNON+GEN
marifetiyle	marifet+NOUN+A3SG+P3SG+INS
üsera	üsera+NOUN+A3SG+PNON+NOM
karargâhından	karargâh+NOUN+A3SG+P2SG+ABL
firar	firar+NOUN+A3SG+PNON+NOM
edişi	et+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kul	kul+NOUN+A3SG+PNON+NOM
ile	ile+CONJ
Tanrı'nın	tanrı+NOUN+PROP+A3SG+PNON+GEN
arasına	ara+NOUN+A3SG+P3SG+DAT
girilmez	gir+VERB^DB+VERB+PASS+NEG+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
hatlar	hat+NOUN+A3PL+PNON+NOM
,	,+PUNC
bu	bu+DET
çiniler	çini+NOUN+A3PL+PNON+NOM
,	,+PUNC
bu	bu+DET
nakışlar	nakış+NOUN+A3PL+PNON+NOM
olmasa	ol+VERB+NEG+DESR+A3SG
bu	bu+DET
abideler	abide+NOUN+A3PL+PNON+NOM
de	de+CONJ
olmazdı	ol+VERB+NEG+AOR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Varıp	var+VERB+POS^DB+ADV+AFTERDOINGSO
yaslanayım	yasla+VERB^DB+VERB+PASS+POS+OPT+A1SG
Hacı	hacı+NOUN+PROP+A3SG+PNON+NOM
Bektaş'a	bektaş+NOUN+PROP+A3SG+PNON+DAT
/	/+PUNC
Abdalın	abdal+NOUN+A3SG+PNON+GEN
olayım	ol+VERB+POS+OPT+A1SG
çullar	çul+NOUN+A3PL+PNON+NOM
içinde	içinde+ADV
</S>	</S>+ESTag
<S>	<S>+BSTag
Hatırda	hatır+NOUN+A3SG+PNON+LOC
kalan	kal+VERB+POS^DB+ADJ+PRESPART
şey	şey+NOUN+A3SG+PNON+NOM
değişmez	değiş+VERB+NEG+AOR+A3SG
zamanla	zaman+NOUN+A3SG+PNON+INS
/	/+PUNC
Ne	ne+CONJ
vefalı	vefa+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
komşumuzdun	komşu+NOUN+A3SG+P1PL+NOM^DB+VERB+ZERO+PAST+A2SG
sen	sen+PRON+PERS+A2SG+PNON+NOM
Fahriye	fahriye+NOUN+PROP+A3SG+PNON+NOM
abla	abla+NOUN+A3SG+PNON+NOM
!	!+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Atatürk	atatürk+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Türk	türk+NOUN+A3SG+PNON+NOM
milletinin	millet+NOUN+A3SG+P3SG+GEN
gönlünde	gönül+NOUN+A3SG+P3SG+LOC
anıtlaştı	anıtlaş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Abu	abu+INTERJ
,	,+PUNC
neler	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A3PL
oluyormuş	ol+VERB+POS+PROG1+NARR+A3SG
!	!+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Abraş	abraş+NOUN+A3SG+PNON+NOM
at	at+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Abuk	abuk+ADJ
sabukluktan	sabukluktan+NOUN+A3SG+PNON+NOM
bir	bir+DET
çizgi	çizgi+NOUN+A3SG+PNON+NOM
yaratan	yarat+VERB+POS^DB+ADJ+PRESPART
giysileri	giysi+NOUN+A3PL+P3SG+NOM
,	,+PUNC
ilginç	ilginç+ADJ
takılarıyla	takı+NOUN+A3PL+P3SG+INS
çağdaş	çağdaş+ADJ
bir	bir+DET
efsaneydi	efsane+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İklim	iklim+NOUN+A3SG+PNON+NOM
ile	ile+CONJ
toprağın	toprak+NOUN+A3SG+PNON+GEN
bereketi	bereket+NOUN+A3SG+P3SG+NOM
ve	ve+CONJ
insanın	insan+NOUN+A3SG+PNON+GEN
faaliyeti	faaliyet+NOUN+A3SG+P3SG+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
yakın	yakın+ADJ
bir	bir+DET
münasebet	münasebet+NOUN+A3SG+PNON+NOM
vardır	var+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bütün	bütün+ADJ
halk	halk+NOUN+A3SG+PNON+NOM
cenazelerdeki	cenaze+NOUN+A3PL+PNON+LOC^DB+ADJ+REL
gibi	gibi+POSTP+PCNOM
suskun	suskun+ADJ
ve	ve+CONJ
somurtkandı	somurtkan+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Olumlu	olumlu+ADJ
,	,+PUNC
verimli	verimli+ADJ
bir	bir+DET
işe	iş+NOUN+A3SG+PNON+DAT
adayacağı	ada+VERB+POS^DB+ADJ+FUTPART+P3SG
zamanını	zaman+NOUN+A3SG+P3SG+ACC
,	,+PUNC
abur	abur+NOUN+A3SG+PNON+NOM
cubur	cubur+DUP
işlere	iş+NOUN+A3PL+PNON+DAT
harcamak	harca+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
ağırlarına	ağır+ADJ^DB+NOUN+ZERO+A3PL+P3PL+DAT
gider	git+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Adam	adam+NOUN+A3SG+PNON+NOM
,	,+PUNC
acele	acele+ADJ
adımlarla	adım+NOUN+A3PL+PNON+INS
tekrar	tekrar+ADV
geri	geri+ADJ
dönüyor	dön+VERB+POS+PROG1+A3SG
,	,+PUNC
süratle	süratle+ADV
merdivenlerden	merdiven+NOUN+A3PL+PNON+ABL
iniyor	in+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bunlar	bu+PRON+DEMONSP+A3PL+PNON+NOM
yarının	yarın+NOUN+A3SG+PNON+GEN
kadın	kadın+ADJ
hakları	hak+NOUN+A3PL+P3SG+NOM
savunucuları	savunucu+NOUN+A3SG+P3PL+NOM
,	,+PUNC
acar	acar+ADJ
avukatları	avukat+NOUN+A3PL+P3SG+NOM
olacak	ol+VERB+POS^DB+ADJ+FUTPART+PNON
soydandırlar	soy+NOUN+A3SG+PNON+ABL^DB+VERB+ZERO+PRES+COP+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
PTT	ptt+NOUN+PROP+A3SG+PNON+NOM
acenteliği	acentelik+NOUN+A3SG+P3SG+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Acele	acele+ADJ
,	,+PUNC
bir	bir+DET
karar	karar+NOUN+A3SG+PNON+NOM
vermek	ver+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
ihtiyacındayım	ihtiyaç+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PRES+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İnsan	insan+NOUN+A3SG+PNON+NOM
,	,+PUNC
ölümün	ölüm+NOUN+A3SG+PNON+GEN
acısını	acı+NOUN+A3SG+P3SG+ACC
en	en+ADV
çok	çok+ADV
günün	gün+NOUN+A3SG+PNON+GEN
iki	iki+NUM+CARD
uzak	uzak+ADJ
saatinde	saat+NOUN+A3SG+P3SG+LOC
hissetmektedir	hisset+VERB+POS^DB+NOUN+INF+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bakın	bak+VERB+POS+IMP+A2PL
çantasında	çanta+NOUN+A3SG+P3SG+LOC
acep	acep+ADV
nesi	ne+PRON+QUESP+A3SG+P3SG+NOM
var	var+ADJ
/	/+PUNC
Bir	bir+NUM+CARD
çift	çift+ADJ
kundurayla	kundura+NOUN+A3SG+PNON+INS
bir	bir+NUM+CARD
de	de+CONJ
fesi	fes+NOUN+A3SG+P3SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
General	general+NOUN+A3SG+PNON+NOM
,	,+PUNC
soluk	soluk+ADJ
dudaklarını	dudak+NOUN+A3PL+P3PL+ACC
parmaklarının	parmak+NOUN+A3PL+P3PL+GEN
arasına	ara+NOUN+A3SG+P3SG+DAT
alarak	al+VERB+POS^DB+ADV+BYDOINGSO
acı	acı+ADJ
acı	acı+ADJ
gülüyor	gül+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Acı	acı+ADJ
poyraz	poyraz+NOUN+A3SG+PNON+NOM
kuvvetle	kuvvetle+ADV
esiyordu	es+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
âdet	âdet+NOUN+A3SG+PNON+NOM
bir	bir+DET
fabrika	fabrika+NOUN+A3SG+PNON+NOM
sahibinin	sahip+NOUN+A3SG+P3SG+GEN
acıklı	acıklı+ADJ
hayat	hayat+NOUN+A3SG+PNON+NOM
hikâyesiyle	hikâye+NOUN+A3SG+P3SG+INS
birlikte	birlikte+ADV
kondulara	kondu+NOUN+A3PL+PNON+DAT
yayıldı	yayıl+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Acıca	acıca+ADJ
bir	bir+DET
yemek	yemek+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Onların	o+PRON+DEMONSP+A3PL+PNON+GEN
da	da+CONJ
karnı	karın+NOUN+A3SG+PNON+ACC
acıkmış	acık+VERB+POS+NARR^DB+ADJ+ZERO
olacak	ol+VERB+POS+FUT+A3SG
ki	ki+CONJ
söz	söz+NOUN+A3SG+PNON+NOM
yemekten	yemek+NOUN+A3SG+PNON+ABL
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kendimi	kendi+PRON+REFLEXP+A1SG+P1SG+ACC
bu	bu+DET
acı	acı+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
acıklı	acıklı+ADJ
kitlenin	kitle+NOUN+A3SG+PNON+GEN
bir	bir+DET
parçası	parça+NOUN+A3SG+P3SG+NOM
gibi	gibi+POSTP+PCNOM
hissediyordum	hisset+VERB+POS+PROG1+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sesi	ses+NOUN+A3SG+PNON+ACC
gerçekten	gerçekten+ADV
acılaşmıştı	acılaş+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ağzım	ağız+NOUN+A3SG+P1SG+NOM
acılandı	acılan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Pek	pek+ADV
