<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Aile	AİLE+NOUN+A3SG+PNON+NOM
oteli	otel+NOUN+A3SG+P3SG+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
tavsiye	tavsiye+NOUN+A3SG+PNON+NOM
ederim	et+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kullanmadım	kullan+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Pastaneden	pastane+NOUN+A3SG+PNON+ABL
yararlanmadım	yararlan+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aradı	ara+VERB+POS+PAST+A3SG
sordu	sor+VERB+POS+PAST+A3SG
ilgiliydi	ilgili+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
iyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çocuklu	çocuklu+ADJ
ailelere	aile+NOUN+A3PL+PNON+DAT
öneririm	öner+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Beklentimi	beklenti+NOUN+A3SG+P1SG+ACC
karşıladı	karşıla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çocuklu	çocuklu+ADJ
ailelere	aile+NOUN+A3PL+PNON+DAT
öneririm	öner+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
10	10+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
veriyorum	ver+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Animasyonu	animasyon+NOUN+A3SG+PNON+ACC
hiç	hiç+ADV
beğenmedim	beğen+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gayet	gayet+ADV
iyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Denizi	deniz+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
yaptırmadım	yap+VERB^DB+VERB+CAUS+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Denizi	deniz+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Temiz	temiz+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kullanmadık	kullan+VERB+NEG+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bakımsız	bakımsız+ADJ
ve	ve+CONJ
eskiydi	eski+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İlgilendi	ilgilen+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Katılmadım	katıl+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Teşekkürler	teşekkür+NOUN+A3PL+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İlgiliydi	ilgili+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
ilgilendi	ilgilen+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Banyosu	banyo+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
eskiydi	eski+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
iyi	iyi+ADJ
değerlendiririm	değerlendir+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Herkes	herkes+PRON+QUANTP+A3PL+P3PL+NOM
severek	sev+VERB+POS^DB+ADV+BYDOINGSO
işini	iş+NOUN+A3SG+P3SG+ACC
yapıyordu	yap+VERB+POS+PROG1+PAST+A3SG
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Memnun	memnun+ADJ
kaldım	kal+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Herkes	herkes+PRON+QUANTP+A3PL+P3PL+NOM
severek	sev+VERB+POS^DB+ADV+BYDOINGSO
işini	iş+NOUN+A3SG+P3SG+ACC
yapıyordu	yap+VERB+POS+PROG1+PAST+A3SG
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yararlanmadım	yararlan+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Herkes	herkes+PRON+QUANTP+A3PL+P3PL+NOM
severek	sev+VERB+POS^DB+ADV+BYDOINGSO
işini	iş+NOUN+A3SG+P3SG+ACC
yapıyordu	yap+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
ilgiliydi	ilgili+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Anket	anket+NOUN+A3SG+PNON+NOM
beyle	bey+NOUN+A3SG+PNON+INS
görüşüldü	görüş+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tam	tam+ADJ
puan	puan+NOUN+A3SG+PNON+NOM
veriyorum	ver+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hizmeti	hizmet+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
iyi	iyi+ADJ
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Memnun	memnun+ADJ
kalmadım	kal+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Banyo	banyo+NOUN+A3SG+PNON+NOM
eskiydi	eski+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
