<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Devasa	devasa+ADJ
ölçekli	ölçek+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
yeni	yeni+ADJ
kanunda	kanun+NOUN+A3SG+PNON+LOC
kullanılan	kullan+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
karmaşık	karmaşık+ADJ
ve	ve+CONJ
çetrefilli	çetrefilli+ADJ
dil	dil+NOUN+A3SG+PNON+NOM
kavgayı	kavga+NOUN+A3SG+PNON+ACC
bulandırdı	bulandır+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hayır	hayır+ADV
,	,+PUNC
kara	kara+ADJ
pazartesi	pazartesi+NOUN+A3SG+PNON+NOM
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bayan	bayan+NOUN+A3SG+PNON+NOM
Haag	haag+NOUN+PROP+A3SG+PNON+NOM
Elianti	elianti+NOUN+PROP+A3SG+PNON+NOM
oynuyor	oyna+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelir	gelir+NOUN+A3SG+PNON+NOM
Artırma	art+VERB^DB+VERB+CAUS+POS^DB+NOUN+INF2+A3SG+PNON+NOM
Usulleri	usul+NOUN+A3PL+P3SG+NOM
Komitesi	komite+NOUN+A3SG+P3SG+NOM
gelecek	gel+VERB+POS^DB+ADJ+FUTPART+PNON
Salı	salı+NOUN+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
kanun	kanun+NOUN+A3SG+PNON+NOM
tasarısı	tasarı+NOUN+A3SG+P3SG+NOM
hakkında	hakkında+ADV
bir	bir+DET
duruşma	duruşma+NOUN+A3SG+PNON+NOM
yapacak	yap+VERB+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birilerini	biri+PRON+QUANTP+A3PL+P3PL+ACC
suçlama	suçla+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
süreci	süreç+NOUN+A3SG+P3SG+NOM
çoktan	çoktan+ADV
başladı	başla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Lüks	lüks+ADJ
sınıf	sınıf+NOUN+A3SG+PNON+NOM
otomobil	otomobil+NOUN+A3SG+PNON+NOM
üreticisi	üretici+NOUN+A3SG+P3SG+NOM
geçen	geç+VERB+POS^DB+ADJ+PRESPART
yıl	yıl+NOUN+A3SG+PNON+NOM
Birleşik	birleşik+NOUN+A3SG+PNON+NOM
Devletler'de	devlet+NOUN+PROP+A3PL+PNON+LOC
1214	1214+NUM+CARD
adet	adet+NOUN+A3SG+PNON+NOM
otomobil	otomobil+NOUN+A3SG+PNON+NOM
sattı	sat+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Reklam	reklam+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
tanıtımın	tanıtım+NOUN+A3SG+PNON+GEN
işe	iş+NOUN+A3SG+PNON+DAT
yarayıp	yara+VERB+POS^DB+ADV+AFTERDOINGSO
yaramadığını	yara+VERB+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ACC
görmek	gör+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
üzereyiz	üzere+POSTP+PCNOM^DB+VERB+ZERO+PRES+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hisse	hisse+NOUN+A3SG+PNON+NOM
senedi	senet+NOUN+A3SG+P3SG+NOM
piyasası	piyasa+NOUN+A3SG+P3SG+NOM
likit	likit+NOUN+A3SG+PNON+NOM
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
BELL	bell+NOUN+PROP+A3SG+PNON+NOM
INDUSTRIES	INDUSTRIES+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
3	3+NUM+CARD
aylık	aylık+NOUN+A3SG+PNON+NOM
dönemde	dönem+NOUN+A3SG+PNON+LOC
bir	bir+NUM+CARD
hissesinin	hisse+NOUN+A3SG+P3SG+GEN
fiyatını	fiyat+NOUN+A3SG+P3SG+ACC
7	7+NUM+CARD
cent	cent+NOUN+A3SG+PNON+NOM
seviyesinden	seviye+NOUN+A3SG+P3SG+ABL
10	10+NUM+CARD
cent	cent+NOUN+A3SG+PNON+NOM
seviyesine	seviye+NOUN+A3SG+P3SG+DAT
yükseltti	yüksel+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
defa	defa+NOUN+A3SG+PNON+NOM
,	,+PUNC
daha	daha+ADV
da	da+CONJ
hızlı	hız+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
hareket	hareket+NOUN+A3SG+PNON+NOM
ediyorlar	et+VERB+POS+PROG1+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kapanıştan	kapanış+NOUN+A3SG+PNON+ABL
önceki	önceki+ADJ
Son	son+ADJ
saatteki	saat+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
alım	alım+NOUN+A3SG+PNON+NOM
satım	satım+NOUN+A3SG+PNON+NOM
işlemi	işlem+NOUN+A3SG+P3SG+NOM
108.1	108.1+NUM+REAL
milyon	milyon+NUM+CARD
hisse	hisse+NOUN+A3SG+PNON+NOM
ile	ile+CONJ
New	new+NOUN+PROP+A3SG+PNON+NOM
York	york+NOUN+PROP+A3SG+PNON+NOM
Menkul	menkul+NOUN+A3SG+PNON+NOM
Kıymetler	kıymet+NOUN+A3PL+PNON+NOM
Piyasası	piyasa+NOUN+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
rekor	rekor+NOUN+A3SG+PNON+NOM
bir	bir+DET
seviyeye	seviye+NOUN+A3SG+PNON+DAT
erişti	eriş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeni	yeni+ADJ
oran	oran+NOUN+A3SG+PNON+NOM
15	15+NUM+CARD
Şubat'ta	şubat+NOUN+PROP+A3SG+PNON+LOC
muaccel	muaccel+ADJ
olacaktır	ol+VERB+POS+FUT+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Shearson	shearson+NOUN+PROP+A3SG+PNON+NOM
Lehman	lehman+NOUN+PROP+A3SG+PNON+NOM
Hutton	hutton+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
dün	dün+NOUN+A3SG+PNON+NOM
öğleden	öğle+NOUN+A3SG+PNON+ABL
sonraya	sonra+NOUN+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
yeni	yeni+ADJ
TV	tv+NOUN+PROP+A3SG+PNON+NOM
reklamları	reklam+NOUN+A3PL+P3SG+NOM
yazmıştı	yaz+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Günün	gün+NOUN+A3SG+PNON+GEN
sonunda	sonunda+ADV
,	,+PUNC
251.2	251.2+NUM+REAL
milyon	milyon+NUM+CARD
adet	adet+NOUN+A3SG+PNON+NOM
hisse	hisse+NOUN+A3SG+PNON+NOM
alım	alım+NOUN+A3SG+PNON+NOM
satımı	satım+NOUN+A3SG+P3SG+NOM
gerçekleştirildi	gerçekleş+VERB^DB+VERB+CAUS^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
kayıt	kayıt+NOUN+A3SG+PNON+NOM
tarihi	tarih+NOUN+A3SG+P3SG+NOM
henüz	henüz+ADV
ayarlanmadı	ayarla+VERB^DB+VERB+PASS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
kez	kez+NOUN+A3SG+PNON+NOM
,	,+PUNC
firmalar	firma+NOUN+A3PL+PNON+NOM
hazırdı	hazır+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
Jones	jones+NOUN+PROP+A3SG+PNON+NOM
sanayi	sanayi+NOUN+A3SG+PNON+NOM
endeksi	endeks+NOUN+A3SG+P3SG+NOM
2569.26	2569.26+NUM+REAL
seviyesinden	seviye+NOUN+A3SG+P3SG+ABL
kapandı	kapan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
"	"+PUNC
Görünüşe	görün+VERB+POS^DB+NOUN+INF3+A3SG+PNON+DAT
göre	göre+POSTP+PCDAT
komisyon	komisyon+NOUN+A3SG+PNON+NOM
gerçekten	gerçekten+ADV
bu	bu+DET
ideale	ideal+NOUN+A3SG+PNON+DAT
pek	pek+ADV
inanmadı	inan+VERB+NEG+PAST+A3SG
.	.+PUNC
"	"+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Diyaloğun	diyalog+NOUN+A3SG+PNON+GEN
sürdürülmesi	sür+VERB^DB+VERB+CAUS^DB+VERB+PASS+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
kesinlikle	kesinlikle+ADV
temel	temel+ADJ
öneme	önem+NOUN+A3SG+PNON+DAT
haizdir	haiz+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
Jones	jones+NOUN+PROP+A3SG+PNON+NOM
Kara	kara+NOUN+A3SG+PNON+NOM
Pazartesi'nde	pazartesi+NOUN+PROP+A3SG+P2SG+LOC
%	%+PERCENT
22.6	22.6+NUM+REAL
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yazanların	yaz+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+GEN
tümü	tüm+NOUN+A3SG+P3SG+NOM
değişikliklere	değişiklik+NOUN+A3PL+PNON+DAT
karşı	karşı+POSTP+PCDAT
koymuyor	koy+VERB+NEG+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Cuma	cuma+NOUN+PROP+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
bunların	bu+PRON+DEMONSP+A3PL+PNON+GEN
üzerine	üzerine+ADV
düşünüldüğünde	düşün+VERB^DB+VERB+PASS+POS^DB+NOUN+PASTPART+A3SG+P3SG+LOC
çok	çok+ADV
geç	geç+ADV
kalmış	kal+VERB+POS+NARR^DB+ADJ+ZERO
olunacaktı	ol+VERB^DB+VERB+PASS+POS+FUT+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birkaç	birkaç+DET
borsa	borsa+NOUN+A3SG+PNON+NOM
işlemcisinin	işlemci+NOUN+A3SG+P3SG+GEN
son	son+ADJ
dakika	dakika+NOUN+A3SG+PNON+NOM
gelişmelerine	geliş+VERB+POS^DB+NOUN+INF2+A3PL+P3SG+DAT
yönelik	yönelik+POSTP+PCDAT
haberler	haber+NOUN+A3PL+PNON+NOM
verildiğinde	ver+VERB^DB+VERB+PASS+POS^DB+NOUN+PASTPART+A3SG+P3SG+LOC
kafalarını	kafa+NOUN+A3SG+P3PL+ACC
salladığı	salla+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+NOM
görülebilirdi	gör+VERB^DB+VERB+PASS+POS^DB+VERB+ABLE+AOR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
SEC'den	sec+NOUN+PROP+A3SG+PNON+ABL
Bay	bay+NOUN+A3SG+PNON+NOM
Lane	lane+NOUN+PROP+A3SG+PNON+NOM
hararetli	hararet+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
şekilde	şekil+NOUN+A3SG+PNON+LOC
bu	bu+DET
tahminleri	tahmin+NOUN+A3PL+P3SG+NOM
tartıştı	tartış+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bunun	bu+PRON+DEMONSP+A3SG+PNON+GEN
hakkında	hakkında+ADV
önceden	önceden+ADV
düşünmemiz	düşün+VERB+POS^DB+NOUN+INF2+A3SG+P1PL+NOM
gerekiyordu	gerek+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelinen	gel+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
Bu	bu+DET
noktada	nokta+NOUN+A3SG+PNON+LOC
,	,+PUNC
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
endeksi	endeks+NOUN+A3SG+P3SG+NOM
yaklaşık	yaklaşık+ADJ
35	35+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
düşüktü	düşük+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
