<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Ama	ama+CONJ
annemin	anne+NOUN+A3SG+P1SG+GEN
şartları	şart+NOUN+A3PL+P3SG+NOM
vardı	var+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Peşreve	peşrev+NOUN+A3SG+PNON+DAT
başlamalı	başla+VERB+POS+NECES+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yasal	yasal+ADJ
Valium	Valium+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Diazem	Diazem+NOUN+PROP+A3SG+PNON+NOM
gibi	gibi+POSTP+PCNOM
haplardan	hap+NOUN+A3PL+PNON+ABL
eroine	eroin+NOUN+A3SG+PNON+DAT
geçenler	geç+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
beni	ben+PRON+PERS+A1SG+PNON+ACC
en	en+ADV
çok	çok+ADJ
şaşkınlığa	şaşkınlık+NOUN+A3SG+PNON+DAT
düşüren	düşür+VERB+POS^DB+ADJ+PRESPART
kişi	kişi+NOUN+A3SG+PNON+NOM
,	,+PUNC
yetmiş	yetmiş+NUM+CARD
yaşlarında	yaş+NOUN+A3PL+P3SG+LOC
şık	şık+NOUN+A3SG+PNON+NOM
giyimli	giyimli+ADJ
bir	bir+DET
kadın	kadın+NOUN+A3SG+PNON+NOM
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sanal	sanal+ADJ
parçacıklarsa	parçacık+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A3SG
bunların	bu+PRON+DEMONSP+A3PL+PNON+GEN
hiçbirini	hiçbiri+PRON+QUANTP+A3SG+P3SG+ACC
yapamazlar	yap+VERB^DB+VERB+ABLE+NEG+AOR+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
sigara	sigara+NOUN+A3SG+PNON+NOM
yakmıştı	yak+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Penceresinden	pencere+NOUN+A3SG+P3SG+ABL
görünendir	görün+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ona	o+PRON+PERS+A3SG+PNON+DAT
her	her+DET
şeyimi	şey+NOUN+A3SG+P1SG+ACC
verdim	ver+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ercan	ercan+NOUN+PROP+A3SG+PNON+NOM
Tezer	tezer+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
iç	iç+ADJ
pazarda	pazar+NOUN+A3SG+PNON+LOC
bu	bu+DET
yıl	yıl+NOUN+A3SG+PNON+NOM
seksen	seksen+NUM+CARD
bin	bin+NUM+CARD
otomobil	otomobil+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
toplam	toplam+NOUN+A3SG+PNON+NOM
yüzotuz	yüzotuz+NUM+CARD
bin	bin+NUM+CARD
araç	araç+NOUN+A3SG+PNON+NOM
satılmasının	satıl+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+GEN
beklendiğini	bekle+VERB^DB+VERB+PASS+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
kaydederek	kaydet+VERB+POS^DB+ADV+BYDOINGSO
,	,+PUNC
"	"+PUNC
onaltı	onaltı+NUM+CARD
yıl	yıl+NOUN+A3SG+PNON+NOM
geriden	geri+NOUN+A3SG+PNON+ABL
gidiyoruz	git+VERB+POS+PROG1+A1PL
"	"+PUNC
dedi	de+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nefes	nefes+NOUN+A3SG+PNON+NOM
nefese	nefes+NOUN+A3SG+PNON+DAT
kalmıştım	kal+VERB+POS+NARR+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Karşısında	karşı+NOUN+A3SG+P3SG+LOC
,	,+PUNC
pantolonu	pantolon+NOUN+A3SG+P3SG+NOM
