<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Fakülteyi	fakülte+NOUN+A3SG+PNON+ACC
bitirenler	bitir+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+NOM
en	en+ADV
uçtan	uç+NOUN+A3SG+PNON+ABL
göreve	görev+NOUN+A3SG+PNON+DAT
başlıyorlarmış	başla+VERB+POS+PROG1+A3PL+NARR
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çünkü	çünkü+CONJ
ben	ben+PRON+PERS+A1SG+PNON+NOM
de	de+CONJ
o	o+PRON+PERS+A3SG+PNON+NOM
yaşadığı	yaşa+VERB+POS^DB+ADJ+PASTPART+P3SG
çevreyi	çevre+NOUN+A3SG+PNON+ACC
kirleterek	kirlet+VERB+POS^DB+ADV+BYDOINGSO
bozulmasına	bozul+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+DAT
neden	neden+ADV
olan	ol+VERB+POS^DB+ADJ+PRESPART
,	,+PUNC
tüm	tüm+DET
uyarılara	uyarı+NOUN+A3PL+PNON+DAT
kulağını	kulak+NOUN+A3SG+P3SG+ACC
tıkayan	tıka+VERB+POS^DB+ADJ+PRESPART
soya	soy+NOUN+A3SG+PNON+DAT
aitim	ait+POSTP+PCDAT^DB+VERB+ZERO+PRES+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1936	1936+NUM+CARD
yılındayız	yıl+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PRES+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Eşeklerin	eşek+NOUN+A3PL+PNON+GEN
sırtlarına	sırt+NOUN+A3SG+P3PL+DAT
yüklenmiş	yüklen+VERB+POS+NARR^DB+ADJ+ZERO
sepetlerle	sepet+NOUN+A3PL+PNON+INS
taşınırdı	taşı+VERB^DB+VERB+PASS+POS+AOR+PAST+A3SG
üzümler	üzüm+NOUN+A3PL+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kimileri	kimi+PRON+QUANTP+A3PL+P3PL+NOM
buna	bu+PRON+DEMONSP+A3SG+PNON+DAT
kader	kader+NOUN+A3SG+PNON+NOM
diyordu	de+VERB+POS+PROG1+PAST+A3SG
,	,+PUNC
kimileri	kimi+PRON+QUANTP+A3PL+P3PL+NOM
unut	unut+VERB+POS+IMP+A2SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Adeta	adeta+ADV
kendimden	kendi+PRON+REFLEXP+A1SG+P1SG+ABL
geçmiş	geçmiş+ADJ
bir	bir+DET
haldeyim	hal+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yurt	yurt+NOUN+A3SG+PNON+NOM
dışında	dış+NOUN+A3SG+P3SG+LOC
çalışmak	çalış+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
hedeflerim	hedef+NOUN+A3PL+P1SG+NOM
içerisinde	içeri+NOUN+A3SG+P3SG+LOC
umarım	um+VERB+POS+AOR+A1SG
da	da+CONJ
gerçekleşir	gerçekleş+VERB+POS+AOR+A3SG
;	;+PUNC
uluslar	ulus+NOUN+A3PL+PNON+NOM
arası	ara+NOUN+A3SG+P3SG+NOM
öğretmenlik	öğretmenlik+NOUN+A3SG+PNON+NOM
diploması	diploma+NOUN+A3SG+P3SG+NOM
almak	al+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
bu	bu+DET
yüzden	yüz+NOUN+A3SG+PNON+ABL
de	de+CONJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
da	da+CONJ
zaman	zaman+NOUN+A3SG+PNON+NOM
ister	iste+VERB+POS+AOR+A3SG
,	,+PUNC
emek	emek+NOUN+A3SG+PNON+NOM
ister	iste+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
nasıl	nasıl+ADV
derse	de+VERB+POS+AOR+COND+A3SG
desin	de+VERB+POS+IMP+A3SG
uğraştığı	uğraş+VERB+POS^DB+ADJ+PASTPART+P3SG
sanatın	sanat+NOUN+A3SG+PNON+GEN
kendisine	kendi+PRON+REFLEXP+A3SG+P3SG+DAT
emanet	emanet+NOUN+A3SG+PNON+NOM
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söyleyen	söyle+VERB+POS^DB+ADJ+PRESPART
üstatları	üstat+NOUN+A3PL+P3SG+NOM
vardı	var+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
"Ufak	"Ufak+NOUN+A3SG+PNON+NOM
at	at+NOUN+A3SG+PNON+NOM
da	da+CONJ
civcivler	civciv+NOUN+A3PL+PNON+NOM
yesin	ye+VERB+POS+IMP+A3SG
"	"+PUNC
derken	de+VERB+POS+AOR^DB+ADV+WHILE
,	,+PUNC
"	"+PUNC
Kendine	kendi+PRON+REFLEXP+A3SG+P3SG+DAT
gel	gel+VERB+POS+IMP+A2SG
de	de+CONJ
ilişkimiz	ilişki+NOUN+A3SG+P1PL+NOM
