<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
her	her+DET
zaman	zaman+NOUN+A3SG+PNON+NOM
yemeklerini	yemek+NOUN+A3PL+P3SG+ACC
lokantada	lokanta+NOUN+A3SG+PNON+LOC
yer	ye+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dün	dün+NOUN+A3SG+PNON+NOM
çocuklar	çocuk+NOUN+A3PL+PNON+NOM
okula	okul+NOUN+A3SG+PNON+DAT
gitti	git+VERB+POS+PAST+A3SG
mi	mi+QUES+PRES+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
gün	gün+NOUN+A3SG+PNON+NOM
nereye	nere+PRON+QUESP+A3SG+PNON+DAT
gidiyorsun	git+VERB+POS+PROG1+A2SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Eğer	eğer+CONJ
sokağa	sokak+NOUN+A3SG+PNON+DAT
çıkmak	çık+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyorsan	iste+VERB+POS+PROG1+COND+A2SG
…	…+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bugün	bugün+ADV
Ziya'yla	ziya+NOUN+PROP+A3SG+PNON+INS
buluştuğun	buluş+VERB+POS^DB+ADJ+PASTPART+P2SG
zaman	zaman+NOUN+A3SG+PNON+NOM
…	…+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Eve	ev+NOUN+A3SG+PNON+DAT
gittim	git+VERB+POS+PAST+A1SG
,	,+PUNC
çantamı	çanta+NOUN+A3SG+P1SG+ACC
aldım	al+VERB+POS+PAST+A1SG
…	…+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aydın	aydın+NOUN+PROP+A3SG+PNON+NOM
bana	ben+PRON+PERS+A1SG+PNON+DAT
çiçek	çiçek+NOUN+A3SG+PNON+NOM
getirdi	getir+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şu	şu+DET
anahtarı	anahtar+NOUN+A3SG+PNON+ACC
hanginize	hangi+PRON+QUESP+A2PL+P1PL+DAT
vereyim	ver+VERB+POS+OPT+A1SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dışarıda	dışarı+NOUN+A3SG+PNON+LOC
bir	bir+DET
köpek	köpek+NOUN+A3SG+PNON+NOM
var	var+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Londra'ya	londra+NOUN+PROP+A3SG+PNON+DAT
mı	mi+QUES+PRES+A3SG
gideceksiniz	git+VERB+POS+FUT+A2PL
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Londra'ya	londra+NOUN+PROP+A3SG+PNON+DAT
gidecek	git+VERB+POS+FUT+A3SG
misiniz	mi+QUES+PRES+A2PL
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ahmet'te	ahmet+NOUN+PROP+A3SG+PNON+LOC
de	de+CONJ
bunlardan	bu+PRON+DEMONSP+A3PL+PNON+ABL
bir	bir+NUM+CARD
tane	tane+NOUN+A3SG+PNON+NOM
var	var+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Turgut	turgut+NOUN+PROP+A3SG+PNON+NOM
nasıl	nasıl+ADV
bilsin	bil+VERB+POS+IMP+A3SG
ki	ki+CONJ
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Herkesin	herkes+PRON+QUANTP+A3PL+P3PL+GEN
burada	bura+NOUN+A3SG+PNON+LOC
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
bilmiyordum	bil+VERB+NEG+PROG1+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Zeki	zeki+NOUN+PROP+A3SG+PNON+NOM
babasını	baba+NOUN+A3SG+P3SG+ACC
onbeş	onbeş+NUM+CARD
yıldır	yıl+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
görmüyormuş	gör+VERB+NEG+PROG1+NARR+A3SG
,	,+PUNC
annesini	anne+NOUN+A3SG+P3SG+ACC
değil	değil+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dün	dün+NOUN+A3SG+PNON+NOM
Zeki'nin	zeki+NOUN+PROP+A3SG+PNON+GEN
ablası	abla+NOUN+A3SG+P3SG+NOM
işten	iş+NOUN+A3SG+PNON+ABL
ayrılmış	ayrıl+VERB+POS+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Arkadaşlarımızla	arkadaş+NOUN+A3PL+P1PL+INS
burada	bura+NOUN+A3SG+PNON+LOC
buluşacağız	buluş+VERB+POS+FUT+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çamaşırları	çamaşır+NOUN+A3PL+PNON+ACC
gene	gene+ADV
makinanın	makina+NOUN+A3SG+PNON+GEN
içinde	iç+NOUN+A3SG+P3SG+LOC
bırakmışım	bırak+VERB+POS+NARR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kitapları	kitap+NOUN+A3PL+PNON+ACC
hep	hep+ADV
yerde	yer+NOUN+A3SG+PNON+LOC
bırakıyorsun	bırak+VERB+POS+PROG1+A2SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bundan	bu+PRON+DEMONSP+A3SG+PNON+ABL
daha	daha+ADV
uygun	uygun+ADJ
bir	bir+DET
sözcük	sözcük+NOUN+A3SG+PNON+NOM
