<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Daha	daha+ADV
düşük	düşük+ADJ
faiz	faiz+NOUN+A3SG+PNON+NOM
oranları	oran+NOUN+A3PL+P3SG+NOM
ödeyen	öde+VERB+POS^DB+ADJ+PRESPART
Hazine	hazine+NOUN+PROP+A3SG+PNON+NOM
bonolarıyla	bono+NOUN+A3PL+P3SG+INS
20	20+NUM+CARD
milyar	milyar+NUM+CARD
dolar	dolar+NOUN+A3SG+PNON+NOM
daha	daha+ADV
toplanacak	topla+VERB^DB+VERB+PASS+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Chicago'daki	chicago+NOUN+PROP+A3SG+PNON+LOC^DB+ADJ+REL
Standard	standard+NOUN+PROP+A3SG+PNON+NOM
&	&+PUNC
Poor'un	poor+NOUN+PROP+A3SG+PNON+GEN
500	500+NUM+CARD
hisse	hisse+NOUN+A3SG+PNON+NOM
senedi	senet+NOUN+A3SG+PNON+ACC
endeks	endeks+NOUN+A3SG+PNON+NOM
vadeli	vadeli+ADJ
işlemlerinin	işlem+NOUN+A3PL+P3SG+GEN
yoğun	yoğun+ADJ
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
satılması	sat+VERB^DB+VERB+PASS+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
,	,+PUNC
borsayı	borsa+NOUN+A3SG+PNON+ACC
umarsızca	umarsız+ADJ^DB+ADV+LY
aşağı	aşağı+ADV
çekti	çek+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Los	los+NOUN+PROP+A3SG+PNON+NOM
Angeles	angeles+NOUN+PROP+A3SG+PNON+NOM
merkezli	merkez+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
Bell	bell+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
elektronik	elektronik+ADJ
,	,+PUNC
bilgisayar	bilgisayar+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
inşaat	inşaat+NOUN+A3SG+PNON+NOM
ürünlerini	ürün+NOUN+A3PL+P3SG+ACC
üretir	üret+VERB+POS+AOR+A3SG
ve	ve+CONJ
dağıtır	dağıt+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1987	1987+NUM+CARD
kazasından	kaza+NOUN+A3SG+P3SG+ABL
birkaç	birkaç+DET
gün	gün+NOUN+A3SG+PNON+NOM
sonra	sonra+ADV
,	,+PUNC
büyük	büyük+ADJ
aracı	aracı+NOUN+A3SG+PNON+NOM
kurumlar	kurum+NOUN+A3PL+PNON+NOM
